[18:21:31] FileCore: some sussy error
[18:22:58] FileCore: some sussy error
[18:24:23] FileCore: some sussy error
[18:26:19] FileCore: some sussy error
[18:32:53] FileCore: sus
[18:35:22] FileCore: sus
[18:35:22] FileCore: sus
[18:35:22] FileCore: sus
[18:35:22] FileCore: sus
[19:01:28] FileCore: sus
[19:01:28] FileCore: sus
[19:01:28] FileCore: sus
[19:01:28] FileCore: sus
[19:02:13] FileCore: sus
[19:02:13] FileCore: sus
[19:02:13] FileCore: sus
[19:02:13] FileCore: sus
[19:03:16] FileCore: sus
[19:03:16] FileCore: sus
[19:03:16] FileCore: sus
[19:03:16] FileCore: sus
[19:13:42] FileCore: sus
[19:13:42] FileCore: Loaded Game Framework
[19:24:46] FileCore: sus
[19:24:46] FileCore: Loaded Game Framework
[19:47:28] FileCore: sus
[19:47:28] FileCore: Loaded Game Framework
[19:52:41] FileCore: sus
[19:52:41] FileCore: Loaded Game Framework
[19:52:49] FileCore: sus
[19:52:49] FileCore: Loaded Game Framework
[19:52:53] FileCore: sus
[19:52:53] FileCore: Loaded Game Framework
[19:55:11] FileCore: sus
[19:55:58] FileCore: Loaded Game Framework
[20:12:57] FileCore: app
[20:12:57] FileCore: Loaded Game Framework
[20:15:09] FileCore: app
[20:15:09] FileCore: Loaded Game Framework
[20:17:59] FileCore: Started App
[20:17:59] FileCore: Loaded Game Framework
[20:18:46] FileCore: Started App
[20:18:47] FileCore: Loaded Game Framework
[20:18:47] FileCore: Loaded Project
[20:24:12] FileCore: Created Random Class
[20:24:12] FileCore: Started App, random = 0.971042
[20:24:12] FileCore: Loaded Game Framework, random = 0.814724
[20:24:12] FileCore: Loaded Project, random = 0.814724
[20:24:58] FileCore: Created Random Class
[20:24:58] FileCore: Started App, random = 0.511196
[20:24:59] FileCore: Loaded Game Framework, random = 0.814724
[20:24:59] FileCore: Loaded Project, random = 0.814724
[20:34:05] FileCore: Created Random Class
[20:34:05] FileCore: Started App, random = 0.579577
[20:34:05] FileCore: Loaded Game Framework, random = 0.460886
[20:34:05] FileCore: Loaded Project, random = 0.855001
[20:40:51] FileCore: Created Random Class
[20:40:51] FileCore: Started App, random = 0.842978
[20:40:51] FileCore: Loaded Game Framework, random = 0.154708
[20:40:51] FileCore: Loaded Project, random = 0.225680
[23:05:43] FileCore: Created Random Class
[23:05:43] FileCore: Started App, random = 0.397961
[23:05:43] FileCore: Started App, random = 0.327631
[23:05:43] FileCore: Started App, random = 0.835135
[23:05:43] FileCore: Started App, random = 0.050802
[23:05:43] FileCore: Started App, random = 0.709585
[23:05:43] FileCore: Started App, random = 0.346454
[23:05:43] FileCore: Started App, random = 0.934720
[23:05:43] FileCore: Started App, random = 0.843841
[23:05:43] FileCore: Started App, random = 0.999156
[23:05:43] FileCore: Started App, random = 0.061187
[23:05:43] FileCore: Started App, random = 0.212354
[23:05:43] FileCore: Started App, random = 0.794555
[23:05:43] FileCore: Started App, random = 0.376411
[23:05:43] FileCore: Started App, random = 0.690079
[23:05:43] FileCore: Started App, random = 0.539108
[23:05:43] FileCore: Started App, random = 0.593891
[23:05:43] FileCore: Started App, random = 0.612600
[23:05:43] FileCore: Started App, random = 0.865887
[23:05:43] FileCore: Started App, random = 0.571646
[23:05:43] FileCore: Started App, random = 0.886789
[23:05:43] FileCore: Started App, random = 0.285675
[23:05:43] FileCore: Started App, random = 0.562997
[23:05:43] FileCore: Started App, random = 0.979803
[23:05:43] FileCore: Started App, random = 0.148738
[23:05:43] FileCore: Started App, random = 0.687963
[23:05:43] FileCore: Started App, random = 0.737950
[23:05:43] FileCore: Started App, random = 0.710618
[23:05:43] FileCore: Started App, random = 0.059133
[23:05:43] FileCore: Started App, random = 0.218565
[23:05:43] FileCore: Started App, random = 0.750398
[23:05:43] FileCore: Started App, random = 0.882369
[23:05:43] FileCore: Started App, random = 0.722184
[23:05:43] FileCore: Started App, random = 0.703037
[23:05:43] FileCore: Started App, random = 0.447519
[23:05:43] FileCore: Started App, random = 0.786090
[23:05:43] FileCore: Started App, random = 0.853180
[23:05:43] FileCore: Started App, random = 0.180875
[23:05:43] FileCore: Started App, random = 0.716855
[23:05:43] FileCore: Started App, random = 0.241189
[23:05:43] FileCore: Started App, random = 0.841721
[23:05:43] FileCore: Started App, random = 0.045740
[23:05:43] FileCore: Started App, random = 0.693836
[23:05:43] FileCore: Started App, random = 0.760118
[23:05:43] FileCore: Started App, random = 0.696454
[23:05:43] FileCore: Started App, random = 0.929192
[23:05:43] FileCore: Started App, random = 0.290091
[23:05:43] FileCore: Started App, random = 0.004044
[23:05:43] FileCore: Started App, random = 0.417172
[23:05:43] FileCore: Started App, random = 0.873052
[23:05:43] FileCore: Started App, random = 0.838892
[23:05:43] FileCore: Started App, random = 0.004073
[23:05:43] FileCore: Started App, random = 0.359303
[23:05:43] FileCore: Started App, random = 0.795121
[23:05:43] FileCore: Started App, random = 0.070489
[23:05:43] FileCore: Started App, random = 0.310305
[23:05:43] FileCore: Started App, random = 0.440397
[23:05:43] FileCore: Started App, random = 0.155706
[23:05:43] FileCore: Started App, random = 0.478914
[23:05:43] FileCore: Started App, random = 0.476959
[23:05:43] FileCore: Started App, random = 0.562534
[23:05:43] FileCore: Started App, random = 0.289956
[23:05:43] FileCore: Started App, random = 0.457702
[23:05:43] FileCore: Started App, random = 0.395969
[23:05:43] FileCore: Started App, random = 0.001189
[23:05:43] FileCore: Started App, random = 0.570894
[23:05:43] FileCore: Started App, random = 0.147488
[23:05:43] FileCore: Started App, random = 0.053961
[23:05:43] FileCore: Started App, random = 0.720804
[23:05:43] FileCore: Started App, random = 0.034765
[23:05:43] FileCore: Started App, random = 0.578012
[23:05:43] FileCore: Started App, random = 0.550807
[23:05:43] FileCore: Started App, random = 0.016561
[23:05:43] FileCore: Started App, random = 0.688840
[23:05:43] FileCore: Started App, random = 0.045489
[23:05:43] FileCore: Started App, random = 0.322026
[23:05:43] FileCore: Started App, random = 0.290017
[23:05:43] FileCore: Started App, random = 0.244448
[23:05:43] FileCore: Started App, random = 0.586447
[23:05:43] FileCore: Started App, random = 0.929137
[23:05:43] FileCore: Started App, random = 0.516832
[23:05:43] FileCore: Started App, random = 0.883832
[23:05:43] FileCore: Started App, random = 0.545103
[23:05:43] FileCore: Started App, random = 0.396045
[23:05:43] FileCore: Started App, random = 0.247942
[23:05:43] FileCore: Started App, random = 0.898572
[23:05:43] FileCore: Started App, random = 0.314129
[23:05:43] FileCore: Started App, random = 0.159964
[23:05:43] FileCore: Started App, random = 0.831747
[23:05:43] FileCore: Started App, random = 0.585751
[23:05:43] FileCore: Started App, random = 0.947289
[23:05:43] FileCore: Started App, random = 0.992207
[23:05:43] FileCore: Started App, random = 0.624018
[23:05:43] FileCore: Started App, random = 0.158464
[23:05:43] FileCore: Started App, random = 0.549123
[23:05:43] FileCore: Started App, random = 0.812497
[23:05:43] FileCore: Started App, random = 0.378065
[23:05:43] FileCore: Started App, random = 0.403450
[23:05:43] FileCore: Started App, random = 0.148190
[23:05:43] FileCore: Started App, random = 0.720715
[23:05:43] FileCore: Started App, random = 0.680838
[23:05:43] FileCore: Started App, random = 0.421586
[23:05:43] FileCore: Started App, random = 0.623301
[23:05:43] FileCore: Started App, random = 0.761187
[23:05:43] FileCore: Started App, random = 0.581468
[23:05:43] FileCore: Started App, random = 0.873890
[23:05:43] FileCore: Started App, random = 0.417351
[23:05:43] FileCore: Started App, random = 0.323930
[23:05:43] FileCore: Started App, random = 0.446467
[23:05:43] FileCore: Started App, random = 0.589435
[23:05:43] FileCore: Started App, random = 0.669019
[23:05:43] FileCore: Started App, random = 0.345898
[23:05:43] FileCore: Started App, random = 0.538013
[23:05:43] FileCore: Started App, random = 0.619413
[23:05:43] FileCore: Started App, random = 0.515052
